Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,CLE,DET,1,CLE,CLE,1507.19,1517.59,1437.04,1426.64,317,195,192,
Eastern,1,1,8,CLE,DET,2,CLE,CLE,1517.59,1527.19,1426.64,1417.04,338,174,38,
Eastern,1,1,8,CLE,DET,3,DET,CLE,1527.19,1539.2,1417.04,1405.03,315,197,365,
Eastern,1,1,8,CLE,DET,4,DET,CLE,1539.2,1550.23,1405.03,1394,331,181,40,
Eastern,1,2,7,TOR,IND,1,TOR,TOR,1530.58,1539.9,1432.31,1422.98,338,174,40,
Eastern,1,2,7,TOR,IND,2,TOR,TOR,1539.9,1548.55,1422.98,1414.33,360,152,37,
Eastern,1,2,7,TOR,IND,3,IND,TOR,1548.55,1559.58,1414.33,1403.3,331,181,38,
Eastern,1,2,7,TOR,IND,4,IND,TOR,1559.58,1569.74,1403.3,1393.14,343,169,37,
Eastern,1,3,6,MIA,CHA,1,MIA,MIA,1466.1,1480.02,1481.04,1467.12,258,254,39,
Eastern,1,3,6,MIA,CHA,2,MIA,MIA,1480.02,1492.76,1467.12,1454.39,286,226,40,
Eastern,1,3,6,MIA,CHA,3,CHA,MIA,1492.76,1507.83,1454.39,1439.32,267,245,38,
Eastern,1,3,6,MIA,CHA,4,CHA,MIA,1507.83,1521.6,1439.32,1425.55,293,219,38,
Eastern,1,4,5,ATL,BOS,1,ATL,ATL,1472.72,1485.94,1471.27,1458.06,274,238,40,
Eastern,1,4,5,ATL,BOS,2,ATL,ATL,1485.94,1498.05,1458.06,1445.95,297,215,38,
Eastern,1,4,5,ATL,BOS,3,BOS,ATL,1498.05,1512.52,1445.95,1431.47,276,236,38,
Eastern,1,4,5,ATL,BOS,4,BOS,ATL,1512.52,1525.76,1431.47,1418.24,294,218,38,
Eastern,2,1,4,CLE,ATL,1,CLE,CLE,1550.23,1562.48,1525.76,1513.51,297,215,38,
Eastern,2,1,4,CLE,ATL,2,CLE,CLE,1562.48,1573.72,1513.51,1502.27,307,205,37,
Eastern,2,1,4,CLE,ATL,3,ATL,CLE,1573.72,1587.37,1502.27,1488.62,293,219,37,
Eastern,2,1,4,CLE,ATL,4,ATL,CLE,1587.37,1599.85,1488.62,1476.14,310,202,39,
Eastern,2,2,3,TOR,MIA,1,TOR,TOR,1569.74,1581.02,1521.6,1510.32,307,205,37,
Eastern,2,2,3,TOR,MIA,2,TOR,TOR,1581.02,1591.39,1510.32,1499.95,317,195,42,
Eastern,2,2,3,TOR,MIA,3,MIA,TOR,1591.39,1604.19,1499.95,1487.15,305,207,37,
Eastern,2,2,3,TOR,MIA,4,MIA,TOR,1604.19,1615.92,1487.15,1475.43,317,195,39,
Eastern,3,1,2,CLE,TOR,1,CLE,CLE,1599.85,1613.82,1615.92,1601.95,258,254,39,
Eastern,3,1,2,CLE,TOR,2,CLE,CLE,1613.82,1626.6,1601.95,1589.17,286,226,38,
Eastern,3,1,2,CLE,TOR,3,TOR,CLE,1626.6,1641.71,1589.17,1574.06,267,245,36,
Eastern,3,1,2,CLE,TOR,4,TOR,CLE,1641.71,1655.52,1574.06,1560.25,285,227,37,
Western,1,1,8,GSW,HOU,1,GSW,GSW,1668.42,1673.02,1412,1407.39,437,75,36,
Western,1,1,8,GSW,HOU,2,GSW,GSW,1673.02,1677.43,1407.39,1402.98,441,71,34,
