Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,ATL,BKN,1,ATL,ATL,1518.94,1526.46,1398.55,1391.03,45,19,218,
Eastern,1,1,8,ATL,BKN,2,ATL,ATL,1526.46,1533.5,1391.03,1383.99,46,18,24,
Eastern,1,1,8,ATL,BKN,3,BKN,ATL,1533.5,1545.12,1383.99,1372.37,44,20,24,
Eastern,1,1,8,ATL,BKN,4,BKN,ATL,1545.12,1555.81,1372.37,1361.68,48,16,25,
Eastern,1,2,7,CLE,BOS,1,CLE,CLE,1526.41,1535.46,1450.73,1441.68,42,22,23,
Eastern,1,2,7,CLE,BOS,2,CLE,CLE,1535.46,1543.87,1441.68,1433.27,42,22,22,
Eastern,1,2,7,CLE,BOS,3,BOS,CLE,1543.87,1557.13,1433.27,1420.01,42,22,22,
Eastern,1,2,7,CLE,BOS,4,BOS,CLE,1557.13,1569.27,1420.01,1407.88,44,20,22,
Eastern,1,3,6,CHI,MIL,1,CHI,CHI,1464.27,1472.94,1377.8,1369.13,42,22,62,
Eastern,1,3,6,CHI,MIL,2,CHI,CHI,1472.94,1481,1369.13,1361.07,45,19,31,
Eastern,1,3,6,CHI,MIL,3,MIL,CHI,1481,1493.86,1361.07,1348.21,43,21,30,
Eastern,1,3,6,CHI,MIL,4,MIL,CHI,1493.86,1505.65,1348.21,1336.42,44,20,30,
Eastern,1,4,5,TOR,WAS,1,TOR,TOR,1430.14,1441.52,1414.57,1403.2,38,26,41,
Eastern,1,4,5,TOR,WAS,2,TOR,TOR,1441.52,1451.99,1403.2,1392.73,41,23,35,
Eastern,1,4,5,TOR,WAS,3,WAS,TOR,1451.99,1467.45,1392.73,1377.26,33,31,36,
Eastern,1,4,5,TOR,WAS,4,WAS,TOR,1467.45,1481.58,1377.26,1363.13,40,24,34,
Eastern,2,1,4,ATL,TOR,1,ATL,ATL,1555.81,1564.92,1481.58,1472.47,42,22,33,
Eastern,2,1,4,ATL,TOR,2,ATL,ATL,1564.92,1573.37,1472.47,1464.01,42,22,33,
Eastern,2,1,4,ATL,TOR,3,TOR,ATL,1573.37,1586.68,1464.01,1450.71,42,22,33,
Eastern,2,1,4,ATL,TOR,4,TOR,ATL,1586.68,1598.87,1450.71,1438.52,44,20,34,
Eastern,2,2,3,CLE,CHI,1,CLE,CLE,1569.27,1578.77,1505.65,1496.15,42,22,34,
Eastern,2,2,3,CLE,CHI,2,CLE,CLE,1578.77,1587.57,1496.15,1487.34,42,22,33,
Eastern,2,2,3,CLE,CHI,3,CHI,CLE,1587.57,1601.27,1487.34,1473.65,41,23,33,
