Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,IND,ATL,1,IND,IND,1459.74,1465.73,1362.33,1356.34,2888,1208,240,
Eastern,1,1,8,IND,ATL,2,IND,IND,1465.73,1471.44,1356.34,1350.63,2930,1166,107,
Eastern,1,1,8,IND,ATL,3,ATL,IND,1471.44,1479.43,1350.63,1342.64,2492,1604,120,
Eastern,1,1,8,IND,ATL,4,ATL,IND,1479.43,1486.98,1342.64,1335.09,2575,1521,117,
Eastern,1,2,7,MIA,CHA,1,MIA,MIA,1458.71,1467.24,1457.14,1448.62,2364,1732,124,
Eastern,1,2,7,MIA,CHA,2,MIA,MIA,1467.24,1475.29,1448.62,1440.57,2442,1654,121,
Eastern,1,2,7,MIA,CHA,3,CHA,CHA,1440.57,1450.13,1475.29,1465.73,2153,1943,126,
Eastern,1,2,7,MIA,CHA,4,CHA,CHA,1450.13,1459.14,1465.73,1456.72,2248,1848,125,
Eastern,1,2,7,MIA,CHA,5,MIA,MIA,1456.72,1465.36,1459.14,1450.5,2328,1768,124,
Eastern,1,2,7,MIA,CHA,6,CHA,CHA,1450.5,1459.49,1465.36,1456.37,2288,1808,126,
Eastern,1,2,7,MIA,CHA,7,MIA,MIA,1456.37,1465.02,1459.49,1450.84,2328,1768,124,
Eastern,1,3,6,TOR,BKN,1,TOR,TOR,1463.32,1471.31,1442.38,1434.4,2482,1614,121,
Eastern,1,3,6,TOR,BKN,2,TOR,TOR,1471.31,1478.86,1434.4,1426.85,2563,1533,119,
Eastern,1,3,6,TOR,BKN,3,BKN,TOR,1478.86,1488.8,1426.85,1416.9,2073,2023,128,
Eastern,1,3,6,TOR,BKN,4,BKN,TOR,1488.8,1498.17,1416.9,1407.53,2215,1881,126,
Eastern,1,4,5,CHI,WAS,1,CHI,CHI,1484.42,1491.62,1434.72,1427.52,2600,1496,117,
Eastern,1,4,5,CHI,WAS,2,CHI,CHI,1491.62,1498.45,1427.52,1420.69,2675,1421,115,
Eastern,1,4,5,CHI,WAS,3,WAS,CHI,1498.45,1507.66,1420.69,1411.48,2215,1881,125,
Eastern,1,4,5,CHI,WAS,4,WAS,CHI,1507.66,1516.33,1411.48,1402.81,2336,1760,124,
Eastern,2,1,4,IND,CHI,1,IND,IND,1486.98,1496.39,1516.33,1506.93,2153,1943,127,
Eastern,2,1,4,IND,CHI,2,IND,IND,1496.39,1505.26,1506.93,1498.06,2288,1808,125,
Eastern,2,1,4,IND,CHI,3,CHI,CHI,1498.06,1506.83,1505.26,1496.48,2328,1768,124,
Eastern,2,1,4,IND,CHI,4,CHI,CHI,1506.83,1515.11,1496.48,1488.2,2414,1682,123,
Eastern,2,1,4,IND,CHI,5,IND,IND,1488.2,1497.54,1515.11,1505.78,2199,1897,126,
Eastern,2,1,4,IND,CHI,6,CHI,CHI,1505.78,1514.12,1497.54,1489.2,2414,1682,123,
Eastern,2,1,4,IND,CHI,7,IND,IND,1489.2,1498.48,1514.12,1504.84,2199,1897,126,
Eastern,2,2,3,MIA,TOR,1,MIA,MIA,1465.02,1474.54,1498.17,1488.65,2153,1943,127,
Eastern,2,2,3,MIA,TOR,2,MIA,MIA,1474.54,1483.51,1488.65,1479.68,2288,1808,125,
Eastern,2,2,3,MIA,TOR,3,TOR,TOR,1479.68,1488.36,1483.51,1474.83,2328,1768,123,
Eastern,2,2,3,MIA,TOR,4,TOR,TOR,1488.36,1496.55,1474.83,1466.64,2442,1654,121,
Eastern,2,2,3,MIA,TOR,5,MIA,MIA,1466.64,1476.06,1496.55,1487.13,2153,1943,126,
Eastern,2,2,3,MIA,TOR,6,TOR,TOR,1487.13,1495.39,1476.06,1467.8,2414,1682,122,
Eastern,2,2,3,MIA,TOR,7,MIA,MIA,1467.8,1477.16,1495.39,1486.04,2199,1897,127,
Eastern,3,1,2,IND,MIA,1,IND,IND,1498.48,1506.45,1477.16,1469.18,2482,1614,121,
Eastern,3,1,2,IND,MIA,2,IND,IND,1506.45,1513.99,1469.18,1461.64,2563,1533,118,
Eastern,3,1,2,IND,MIA,3,MIA,IND,1513.99,1523.93,1461.64,1451.71,2073,2023,127,
Eastern,3,1,2,IND,MIA,4,MIA,IND,1523.93,1533.29,1451.71,1442.35,2215,1881,125,
Western,1,1,8,SAS,DAL,1,SAS,SAS,1581.9,1587.86,1483.07,1477.11,2888,1208,107,
Western,1,1,8,SAS,DAL,2,SAS,SAS,1587.86,1593.53,1477.11,1471.44,2930,1166,106,
Western,1,1,8,SAS,DAL,3,DAL,SAS,1593.53,1601.49,1471.44,1463.48,2492,1604,119,
Western,1,1,8,SAS,DAL,4,DAL,SAS,1601.49,1609.01,1463.48,1455.96,2575,1521,118,
Western,1,2,7,OKC,MEM,1,OKC,OKC,1531.21,1539.53,1522.26,1513.94,2414,1682,123,
Western,1,2,7,OKC,MEM,2,OKC,OKC,1539.53,1547.38,1513.94,1506.08,2482,1614,120,
Western,1,2,7,OKC,MEM,3,MEM,MEM,1506.08,1515.83,1547.38,1537.64,2117,1979,141,
Western,1,2,7,OKC,MEM,4,MEM,MEM,1515.83,1525.02,1537.64,1528.44,2248,1848,127,
